transaction_id,account_id,transaction_date,amount,currency,transaction_type,category,merchant,location,is_fraudulent,risk_score
TXN-001,ACC-001,2024-02-13 09:15:23,85.47,USD,DEBIT,GROCERIES,Whole Foods Market,New York NY,0,0.125
TXN-002,ACC-001,2024-02-13 14:32:18,-450.00,USD,DEBIT,RENT,Property Management Co,New York NY,0,0.089
TXN-003,ACC-003,2024-02-12 16:45:09,67.89,USD,DEBIT,RESTAURANT,The Italian Corner,Los Angeles CA,0,0.156
TXN-004,ACC-004,2024-02-12 11:22:07,-25.99,USD,CREDIT,ONLINE,Amazon.com,Online,0,0.078
TXN-005,ACC-005,2024-02-13 08:30:15,2500.00,USD,CREDIT,SALARY,Tech Corp Inc,Chicago IL,0,0.045
TXN-006,ACC-005,2024-02-13 12:18:43,-89.23,USD,DEBIT,GAS,Shell Station,Chicago IL,0,0.134
TXN-007,ACC-008,2024-02-11 15:27:31,45.67,USD,DEBIT,COFFEE,Starbucks,Houston TX,0,0.167
TXN-008,ACC-009,2024-02-12 10:41:52,-125.00,USD,CREDIT,CLOTHING,H&M,Houston TX,0,0.201
TXN-009,ACC-010,2024-02-10 13:56:18,1800.00,USD,CREDIT,SALARY,Marketing Pro LLC,Phoenix AZ,0,0.067
TXN-010,ACC-010,2024-02-10 19:23:45,-78.92,USD,DEBIT,RESTAURANT,Red Lobster,Phoenix AZ,0,0.143
TXN-011,ACC-012,2024-02-13 07:45:12,156.34,USD,DEBIT,GROCERIES,Safeway,Philadelphia PA,0,0.112
TXN-012,ACC-014,2024-02-08 20:15:37,-89.99,USD,CREDIT,ENTERTAINMENT,Netflix,Online,0,0.098
TXN-013,ACC-015,2024-02-12 14:33:28,1200.00,USD,CREDIT,SALARY,Consulting Firm,San Antonio TX,0,0.056
TXN-014,ACC-016,2024-02-11 16:44:19,-234.56,USD,CREDIT,ELECTRONICS,Best Buy,San Antonio TX,0,0.187
TXN-015,ACC-017,2024-02-09 11:28:44,95.43,USD,DEBIT,PHARMACY,CVS Pharmacy,San Diego CA,0,0.145
TXN-016,ACC-019,2024-02-13 09:52:17,67.89,USD,DEBIT,GROCERIES,Kroger,Dallas TX,0,0.178
TXN-017,ACC-020,2024-02-12 13:17:33,-567.23,USD,CREDIT,TRAVEL,Delta Airlines,Online,0,0.234
TXN-018,ACC-021,2024-02-10 15:39:51,2100.00,USD,CREDIT,SALARY,FinanceTech Corp,San Jose CA,0,0.034
TXN-019,ACC-023,2024-02-11 08:21:16,45.78,USD,DEBIT,GAS,Chevron,Austin TX,0,0.156
TXN-020,ACC-024,2024-02-09 17:54:32,-123.45,USD,CREDIT,RESTAURANT,Olive Garden,Austin TX,0,0.198
TXN-021,ACC-027,2024-02-13 12:07:29,5000.00,USD,CREDIT,BONUS,Executive Consulting,Fort Worth TX,0,0.023
TXN-022,ACC-029,2024-02-08 14:18:43,-1234.56,USD,CREDIT,LUXURY,Rolex Boutique,Fort Worth TX,0,0.289
TXN-023,ACC-030,2024-02-12 16:35:21,89.67,USD,DEBIT,GROCERIES,Giant Eagle,Columbus OH,0,0.134
TXN-024,ACC-032,2024-02-11 10:42:18,134.89,USD,DEBIT,UTILITIES,Duke Energy,Charlotte NC,0,0.089
TXN-025,ACC-034,2024-02-13 13:29:47,78.23,USD,DEBIT,COFFEE,Local Coffee Shop,San Francisco CA,0,0.167
TXN-026,ACC-036,2024-02-10 19:16:35,-456.78,USD,CREDIT,ELECTRONICS,Apple Store,San Francisco CA,0,0.245
TXN-027,ACC-037,2024-02-12 11:53:42,34.56,USD,DEBIT,FAST_FOOD,McDonald's,Indianapolis IN,0,0.189
TXN-028,ACC-038,2024-02-11 15:47:28,-67.89,USD,CREDIT,CLOTHING,Target,Indianapolis IN,0,0.203
TXN-029,ACC-039,2024-02-09 08:24:13,145.67,USD,DEBIT,GROCERIES,QFC,Seattle WA,0,0.123
TXN-030,ACC-041,2024-02-13 17:31:55,89.34,USD,DEBIT,GAS,ConocoPhillips,Denver CO,0,0.145
TXN-031,ACC-043,2024-02-12 12:48:22,56.78,USD,DEBIT,GROCERIES,Harris Teeter,Washington DC,0,0.156
TXN-032,ACC-044,2024-02-11 14:23:49,-234.56,USD,CREDIT,SHOPPING,Macy's,Washington DC,0,0.212
TXN-033,ACC-001,2024-02-10 16:17:31,345.67,USD,DEBIT,MEDICAL,Dr. Smith Office,New York NY,0,0.178
TXN-034,ACC-003,2024-02-09 09:45:18,23.45,USD,DEBIT,COFFEE,Dunkin Donuts,Los Angeles CA,0,0.165
TXN-035,ACC-005,2024-02-08 20:32:44,-156.78,USD,DEBIT,ENTERTAINMENT,AMC Theaters,Chicago IL,0,0.134
TXN-036,ACC-008,2024-02-07 13:29:17,2345.67,USD,CREDIT,TRANSFER,Bank Transfer,Houston TX,1,0.876
TXN-037,ACC-010,2024-02-06 11:18:52,67.89,USD,DEBIT,GROCERIES,Walmart,Phoenix AZ,0,0.143
TXN-038,ACC-012,2024-02-05 15:47:33,-89.99,USD,DEBIT,SUBSCRIPTION,Spotify,Online,0,0.098
TXN-039,ACC-015,2024-02-04 08:52:19,145.32,USD,DEBIT,PHARMACY,Walgreens,San Antonio TX,0,0.167
TXN-040,ACC-017,2024-02-03 17:23:41,-567.89,USD,DEBIT,INSURANCE,State Farm,San Diego CA,0,0.234
TXN-041,ACC-019,2024-02-02 12:35:28,34.56,USD,DEBIT,FAST_FOOD,Chipotle,Dallas TX,0,0.178
TXN-042,ACC-021,2024-02-01 14:41:15,78.90,USD,DEBIT,GAS,76 Station,San Jose CA,0,0.145
TXN-043,ACC-023,2024-01-31 16:28:37,-234.56,USD,DEBIT,SHOPPING,Nordstrom,Austin TX,0,0.223
TXN-044,ACC-027,2024-01-30 10:15:49,1567.89,USD,CREDIT,INVESTMENT,Fidelity,Fort Worth TX,0,0.067
TXN-045,ACC-030,2024-01-29 13:52:21,45.67,USD,DEBIT,GROCERIES,Meijer,Columbus OH,0,0.156
TXN-046,ACC-034,2024-01-28 19:37:14,-123.45,USD,DEBIT,RESTAURANT,Cheesecake Factory,San Francisco CA,0,0.189
TXN-047,ACC-037,2024-01-27 07:44:36,89.23,USD,DEBIT,UTILITIES,Indianapolis Power,Indianapolis IN,0,0.112
TXN-048,ACC-039,2024-01-26 15:19:58,-456.78,USD,DEBIT,ELECTRONICS,Microsoft Store,Seattle WA,0,0.267
TXN-049,ACC-041,2024-01-25 11:33:42,67.89,USD,DEBIT,COFFEE,Blue Bottle Coffee,Denver CO,0,0.167
TXN-050,ACC-043,2024-01-24 18:26:17,234.56,USD,DEBIT,MEDICAL,Washington Hospital,Washington DC,0,0.178