product_id,product_name,category,subcategory,brand,unit_cost,unit_price,margin_percent,weight_kg,stock_quantity,reorder_level,supplier_id,is_active,launch_date
PROD00001,NaturalStyle Furniture Product 1,Home & Garden,Furniture,NaturalStyle,346.61,586.95,69.3,29.38,481,51,SUP028,True,2022-05-26
PROD00002,FashionPlus Kids Product 2,Clothing,Kids,FashionPlus,238.6,322.91,35.3,26.6,378,37,SUP022,True,2021-09-18
PROD00003,NaturalStyle Kitchen Product 3,Home & Garden,Kitchen,NaturalStyle,206.3,283.12,37.2,32.04,422,27,SUP014,True,2023-02-26
PROD00004,StyleHub Women Product 4,Clothing,Women,StyleHub,338.34,455.44,34.6,19.94,651,42,SUP032,True,2021-05-27
PROD00005,ComfortFit Kids Product 5,Clothing,Kids,ComfortFit,365.54,560.06,53.2,13.77,439,41,SUP030,False,2022-10-16
PROD00006,GadgetMax Video Product 6,Electronics,Video,GadgetMax,249.82,369.3,47.8,1.02,583,43,SUP045,True,2024-10-07
PROD00007,NaturalStyle Kitchen Product 7,Home & Garden,Kitchen,NaturalStyle,68.84,90.01,30.8,14.45,552,60,SUP001,True,2023-09-05
PROD00008,UrbanStyle Women Product 8,Clothing,Women,UrbanStyle,405.62,617.98,52.4,29.6,462,10,SUP017,True,2020-11-11
PROD00009,NaturalStyle Garden Product 9,Home & Garden,Garden,NaturalStyle,33.87,56.14,65.7,32.39,5,66,SUP043,True,2020-06-08
PROD00010,DigiWorld Computers Product 10,Electronics,Computers,DigiWorld,205.38,293.01,42.7,26.96,408,14,SUP050,True,2023-11-22
PROD00011,GardenPro Kitchen Product 11,Home & Garden,Kitchen,GardenPro,201.34,285.96,42.0,12.41,316,50,SUP018,True,2022-08-02
PROD00012,NaturalStyle Garden Product 12,Home & Garden,Garden,NaturalStyle,307.0,511.82,66.7,45.66,639,14,SUP006,True,2022-10-11
PROD00013,TechCorp Accessories Product 13,Electronics,Accessories,TechCorp,491.54,688.4,40.0,9.53,783,59,SUP011,False,2020-02-05
PROD00014,FashionPlus Sports Product 14,Clothing,Sports,FashionPlus,21.78,37.87,73.9,27.49,935,27,SUP015,True,2023-10-05
PROD00015,ModernHome Garden Product 15,Home & Garden,Garden,ModernHome,361.57,642.83,77.8,12.32,596,98,SUP040,True,2022-01-28
PROD00016,FashionPlus Accessories Product 16,Clothing,Accessories,FashionPlus,323.17,489.63,51.5,19.95,100,88,SUP012,False,2023-12-19
PROD00017,HomeEssentials Kitchen Product 17,Home & Garden,Kitchen,HomeEssentials,295.37,503.6,70.5,37.81,940,100,SUP048,True,2022-09-05
PROD00018,HomeEssentials Storage Product 18,Home & Garden,Storage,HomeEssentials,411.73,684.54,66.3,19.08,405,25,SUP043,False,2022-11-04
PROD00019,UrbanStyle Men Product 19,Clothing,Men,UrbanStyle,106.58,188.96,77.3,46.46,93,73,SUP002,True,2022-01-07
PROD00020,UrbanStyle Women Product 20,Clothing,Women,UrbanStyle,277.33,428.78,54.6,4.23,426,23,SUP007,True,2022-08-13
PROD00021,ComfortFit Women Product 21,Clothing,Women,ComfortFit,68.11,101.75,49.4,45.7,745,57,SUP032,True,2024-02-21
PROD00022,GadgetMax Audio Product 22,Electronics,Audio,GadgetMax,458.68,818.87,78.5,10.84,901,66,SUP021,True,2021-04-05
PROD00023,ComfortFit Women Product 23,Clothing,Women,ComfortFit,306.44,448.59,46.4,12.47,492,93,SUP036,True,2022-05-29
PROD00024,DigiWorld Accessories Product 24,Electronics,Accessories,DigiWorld,384.84,583.33,51.6,6.7,722,33,SUP044,False,2023-08-31
PROD00025,DigiWorld Mobile Product 25,Electronics,Mobile,DigiWorld,57.66,101.96,76.8,8.33,488,97,SUP032,True,2022-05-17
PROD00026,GardenPro Kitchen Product 26,Home & Garden,Kitchen,GardenPro,27.63,38.07,37.8,12.34,289,36,SUP003,False,2024-02-21
PROD00027,NaturalStyle Garden Product 27,Home & Garden,Garden,NaturalStyle,113.09,186.67,65.1,34.34,928,56,SUP001,True,2020-04-30
PROD00028,GardenPro Kitchen Product 28,Home & Garden,Kitchen,GardenPro,69.38,122.02,75.9,22.74,248,54,SUP003,True,2021-03-11
PROD00029,UrbanStyle Men Product 29,Clothing,Men,UrbanStyle,44.77,70.82,58.2,27.91,641,26,SUP026,True,2020-10-12
PROD00030,FashionPlus Women Product 30,Clothing,Women,FashionPlus,301.76,507.67,68.2,27.81,369,42,SUP035,True,2023-12-26
PROD00031,ElectroPro Accessories Product 31,Electronics,Accessories,ElectroPro,376.14,588.81,56.5,41.16,827,29,SUP012,True,2024-08-02
PROD00032,UrbanStyle Women Product 32,Clothing,Women,UrbanStyle,347.86,469.52,35.0,13.63,967,68,SUP018,True,2022-03-22
PROD00033,ElectroPro Computers Product 33,Electronics,Computers,ElectroPro,451.31,665.6,47.5,42.9,231,55,SUP002,True,2022-08-26
PROD00034,GardenPro Furniture Product 34,Home & Garden,Furniture,GardenPro,130.54,209.69,60.6,10.26,841,19,SUP049,True,2021-11-15
PROD00035,FashionPlus Sports Product 35,Clothing,Sports,FashionPlus,166.33,232.2,39.6,4.56,823,32,SUP032,False,2020-07-31
PROD00036,CozyLiving Furniture Product 36,Home & Garden,Furniture,CozyLiving,183.11,298.27,62.9,41.41,49,34,SUP044,False,2024-09-26
PROD00037,NaturalStyle Decor Product 37,Home & Garden,Decor,NaturalStyle,99.86,178.16,78.4,28.99,585,16,SUP048,True,2023-03-29
PROD00038,TrendyWear Sports Product 38,Clothing,Sports,TrendyWear,415.6,661.32,59.1,31.41,411,87,SUP027,True,2023-01-13
PROD00039,ElectroPro Video Product 39,Electronics,Video,ElectroPro,264.37,456.95,72.8,41.24,543,97,SUP004,True,2020-12-06
PROD00040,FashionPlus Kids Product 40,Clothing,Kids,FashionPlus,129.91,171.17,31.8,43.6,25,49,SUP029,True,2020-08-27
PROD00041,HomeEssentials Kitchen Product 41,Home & Garden,Kitchen,HomeEssentials,142.1,196.02,37.9,30.7,100,75,SUP038,True,2023-01-18
PROD00042,TrendyWear Men Product 42,Clothing,Men,TrendyWear,467.75,673.61,44.0,0.81,204,27,SUP018,True,2022-09-29
PROD00043,DigiWorld Audio Product 43,Electronics,Audio,DigiWorld,280.49,368.92,31.5,27.37,935,18,SUP016,True,2022-07-22
PROD00044,TrendyWear Sports Product 44,Clothing,Sports,TrendyWear,201.07,298.67,48.5,16.01,486,38,SUP023,True,2021-11-17
PROD00045,FashionPlus Sports Product 45,Clothing,Sports,FashionPlus,415.84,603.15,45.0,23.4,886,10,SUP017,True,2021-10-11
PROD00046,CozyLiving Storage Product 46,Home & Garden,Storage,CozyLiving,144.8,240.68,66.2,26.9,291,55,SUP027,True,2024-10-07
PROD00047,TechCorp Audio Product 47,Electronics,Audio,TechCorp,480.15,765.56,59.4,1.97,451,36,SUP010,True,2022-09-10
PROD00048,ModernHome Garden Product 48,Home & Garden,Garden,ModernHome,377.86,497.8,31.7,40.88,303,30,SUP034,True,2020-09-04
PROD00049,StyleHub Men Product 49,Clothing,Men,StyleHub,107.34,183.14,70.6,34.69,110,84,SUP003,False,2021-02-03
PROD00050,UrbanStyle Women Product 50,Clothing,Women,UrbanStyle,330.7,439.35,32.9,40.54,416,60,SUP038,True,2020-10-16
PROD00051,ElectroPro Computers Product 51,Electronics,Computers,ElectroPro,353.16,471.91,33.6,20.05,778,34,SUP038,True,2022-01-27
PROD00052,GadgetMax Accessories Product 52,Electronics,Accessories,GadgetMax,247.93,428.59,72.9,0.86,356,21,SUP046,True,2021-02-12
PROD00053,HomeEssentials Furniture Product 53,Home & Garden,Furniture,HomeEssentials,347.65,562.61,61.8,10.75,644,62,SUP006,True,2022-03-15
PROD00054,ComfortFit Kids Product 54,Clothing,Kids,ComfortFit,94.43,133.77,41.7,45.47,61,11,SUP008,True,2024-08-29
PROD00055,HomeEssentials Garden Product 55,Home & Garden,Garden,HomeEssentials,84.3,119.4,41.6,40.67,157,26,SUP044,True,2022-04-09
PROD00056,DigiWorld Mobile Product 56,Electronics,Mobile,DigiWorld,154.47,269.4,74.4,46.43,483,61,SUP049,True,2024-06-11
PROD00057,ComfortFit Sports Product 57,Clothing,Sports,ComfortFit,168.16,270.04,60.6,1.86,219,32,SUP039,True,2020-09-10
PROD00058,ModernHome Garden Product 58,Home & Garden,Garden,ModernHome,456.85,750.72,64.3,27.41,897,45,SUP042,True,2020-07-18
PROD00059,GardenPro Storage Product 59,Home & Garden,Storage,GardenPro,119.44,207.06,73.4,34.54,623,53,SUP013,True,2022-12-30
PROD00060,UrbanStyle Women Product 60,Clothing,Women,UrbanStyle,380.29,544.19,43.1,39.33,79,89,SUP010,True,2024-08-13
PROD00061,ComfortFit Accessories Product 61,Clothing,Accessories,ComfortFit,373.31,637.68,70.8,2.39,6,83,SUP013,True,2021-08-01
PROD00062,CozyLiving Furniture Product 62,Home & Garden,Furniture,CozyLiving,83.94,139.12,65.7,26.9,519,54,SUP009,False,2023-09-27
PROD00063,GardenPro Kitchen Product 63,Home & Garden,Kitchen,GardenPro,62.84,97.08,54.5,34.61,737,98,SUP041,True,2021-12-19
PROD00064,NaturalStyle Garden Product 64,Home & Garden,Garden,NaturalStyle,310.09,542.13,74.8,5.68,616,100,SUP012,True,2021-12-27
PROD00065,ComfortFit Kids Product 65,Clothing,Kids,ComfortFit,357.55,529.8,48.2,3.1,923,30,SUP038,True,2024-05-25
PROD00066,CozyLiving Kitchen Product 66,Home & Garden,Kitchen,CozyLiving,368.96,543.42,47.3,6.17,816,57,SUP029,False,2021-04-13
PROD00067,HomeEssentials Decor Product 67,Home & Garden,Decor,HomeEssentials,435.47,685.23,57.4,1.35,293,76,SUP007,True,2024-09-26
PROD00068,NaturalStyle Garden Product 68,Home & Garden,Garden,NaturalStyle,176.86,271.58,53.6,38.9,576,26,SUP029,True,2024-03-05
PROD00069,HomeEssentials Storage Product 69,Home & Garden,Storage,HomeEssentials,170.66,297.41,74.3,16.15,596,96,SUP017,True,2020-11-29
PROD00070,TrendyWear Men Product 70,Clothing,Men,TrendyWear,214.93,377.64,75.7,43.24,668,42,SUP046,True,2023-01-13
PROD00071,NaturalStyle Kitchen Product 71,Home & Garden,Kitchen,NaturalStyle,338.39,511.56,51.2,48.24,491,37,SUP024,True,2023-08-08
PROD00072,DigiWorld Computers Product 72,Electronics,Computers,DigiWorld,228.24,372.04,63.0,43.5,300,52,SUP012,False,2023-01-20
PROD00073,NaturalStyle Garden Product 73,Home & Garden,Garden,NaturalStyle,368.54,607.03,64.7,43.58,358,24,SUP037,True,2022-12-04
PROD00074,NaturalStyle Garden Product 74,Home & Garden,Garden,NaturalStyle,250.89,398.39,58.8,42.17,931,54,SUP044,True,2020-01-20
PROD00075,SmartTech Accessories Product 75,Electronics,Accessories,SmartTech,344.81,578.44,67.8,45.62,590,70,SUP016,True,2024-09-29
PROD00076,DigiWorld Mobile Product 76,Electronics,Mobile,DigiWorld,252.8,430.03,70.1,1.11,73,82,SUP041,False,2021-11-20
PROD00077,GardenPro Decor Product 77,Home & Garden,Decor,GardenPro,149.49,203.1,35.9,24.87,230,92,SUP044,True,2021-12-18
PROD00078,FashionPlus Sports Product 78,Clothing,Sports,FashionPlus,214.74,287.9,34.1,30.12,181,22,SUP039,True,2022-08-24
PROD00079,ElectroPro Mobile Product 79,Electronics,Mobile,ElectroPro,486.45,796.28,63.7,49.9,551,12,SUP034,True,2024-07-08
PROD00080,UrbanStyle Women Product 80,Clothing,Women,UrbanStyle,178.92,301.84,68.7,26.65,195,47,SUP045,True,2023-09-02
PROD00081,FashionPlus Women Product 81,Clothing,Women,FashionPlus,22.61,38.63,70.9,9.16,583,20,SUP046,False,2022-02-06
PROD00082,SmartTech Computers Product 82,Electronics,Computers,SmartTech,327.61,540.27,64.9,37.46,185,100,SUP008,True,2020-07-25
PROD00083,StyleHub Accessories Product 83,Clothing,Accessories,StyleHub,305.47,485.74,59.0,26.85,700,82,SUP026,True,2024-07-17
PROD00084,ElectroPro Mobile Product 84,Electronics,Mobile,ElectroPro,267.95,472.68,76.4,30.29,969,80,SUP014,True,2022-03-31
PROD00085,ElectroPro Accessories Product 85,Electronics,Accessories,ElectroPro,60.27,102.57,70.2,29.02,866,29,SUP027,False,2023-01-18
PROD00086,TechCorp Audio Product 86,Electronics,Audio,TechCorp,239.4,412.26,72.2,22.94,264,33,SUP037,False,2023-03-20
PROD00087,StyleHub Women Product 87,Clothing,Women,StyleHub,148.05,197.56,33.4,39.68,790,83,SUP009,True,2021-11-17
PROD00088,UrbanStyle Sports Product 88,Clothing,Sports,UrbanStyle,23.34,39.08,67.5,49.67,526,21,SUP038,True,2024-01-29
PROD00089,FashionPlus Men Product 89,Clothing,Men,FashionPlus,395.86,661.58,67.1,2.47,443,13,SUP035,True,2021-02-27
PROD00090,DigiWorld Accessories Product 90,Electronics,Accessories,DigiWorld,222.67,356.02,59.9,27.77,17,99,SUP006,True,2024-12-06
PROD00091,TrendyWear Women Product 91,Clothing,Women,TrendyWear,390.32,511.48,31.0,13.94,578,56,SUP030,True,2021-10-21
PROD00092,TechCorp Audio Product 92,Electronics,Audio,TechCorp,421.31,623.55,48.0,22.07,244,16,SUP031,False,2023-12-04
PROD00093,NaturalStyle Kitchen Product 93,Home & Garden,Kitchen,NaturalStyle,229.61,380.04,65.5,48.57,214,61,SUP013,True,2021-01-05
PROD00094,TechCorp Audio Product 94,Electronics,Audio,TechCorp,299.74,420.33,40.2,32.72,729,61,SUP028,False,2020-07-05
PROD00095,TrendyWear Men Product 95,Clothing,Men,TrendyWear,85.79,123.8,44.3,13.94,174,98,SUP037,False,2023-05-19
PROD00096,CozyLiving Furniture Product 96,Home & Garden,Furniture,CozyLiving,232.69,392.92,68.9,13.57,722,63,SUP013,True,2023-05-26
PROD00097,ElectroPro Video Product 97,Electronics,Video,ElectroPro,240.61,346.49,44.0,44.19,324,26,SUP021,False,2022-10-27
PROD00098,UrbanStyle Kids Product 98,Clothing,Kids,UrbanStyle,135.45,212.87,57.2,9.03,970,64,SUP031,False,2024-01-06
PROD00099,GardenPro Storage Product 99,Home & Garden,Storage,GardenPro,95.17,144.02,51.3,38.21,373,48,SUP017,True,2022-11-13
PROD00100,GadgetMax Mobile Product 100,Electronics,Mobile,GadgetMax,100.81,160.13,58.8,40.49,418,11,SUP025,False,2024-05-14
PROD00101,ElectroPro Accessories Product 101,Electronics,Accessories,ElectroPro,57.35,81.35,41.9,29.87,897,46,SUP029,True,2023-07-27
PROD00102,HomeEssentials Storage Product 102,Home & Garden,Storage,HomeEssentials,179.04,235.58,31.6,30.23,132,72,SUP036,True,2023-07-17
PROD00103,HomeEssentials Storage Product 103,Home & Garden,Storage,HomeEssentials,230.53,311.35,35.1,1.44,685,30,SUP019,True,2023-04-20
PROD00104,CozyLiving Furniture Product 104,Home & Garden,Furniture,CozyLiving,117.85,205.49,74.4,25.98,756,64,SUP046,True,2022-03-27
PROD00105,SmartTech Video Product 105,Electronics,Video,SmartTech,101.06,181.83,79.9,14.43,671,81,SUP004,False,2023-08-22
PROD00106,ModernHome Decor Product 106,Home & Garden,Decor,ModernHome,301.93,433.32,43.5,12.23,804,94,SUP017,False,2023-02-28
PROD00107,CozyLiving Decor Product 107,Home & Garden,Decor,CozyLiving,385.76,649.23,68.3,45.71,275,36,SUP021,True,2020-03-29
PROD00108,FashionPlus Accessories Product 108,Clothing,Accessories,FashionPlus,97.65,140.26,43.6,3.3,108,32,SUP043,True,2024-12-20
PROD00109,TrendyWear Women Product 109,Clothing,Women,TrendyWear,258.08,381.33,47.8,26.58,224,23,SUP046,True,2020-01-04
PROD00110,GardenPro Kitchen Product 110,Home & Garden,Kitchen,GardenPro,316.99,427.98,35.0,38.22,696,43,SUP049,True,2020-08-23
PROD00111,ModernHome Garden Product 111,Home & Garden,Garden,ModernHome,251.52,368.04,46.3,31.94,667,49,SUP013,True,2022-02-07
PROD00112,TrendyWear Men Product 112,Clothing,Men,TrendyWear,240.55,418.22,73.9,4.16,552,83,SUP042,True,2023-01-27
PROD00113,NaturalStyle Storage Product 113,Home & Garden,Storage,NaturalStyle,29.96,46.47,55.1,6.69,892,91,SUP041,True,2022-04-23
PROD00114,NaturalStyle Decor Product 114,Home & Garden,Decor,NaturalStyle,269.48,368.07,36.6,23.83,903,76,SUP049,True,2024-11-08
PROD00115,SmartTech Audio Product 115,Electronics,Audio,SmartTech,301.93,445.21,47.5,23.7,574,33,SUP038,True,2020-10-17
PROD00116,TrendyWear Accessories Product 116,Clothing,Accessories,TrendyWear,385.82,662.36,71.7,33.46,539,52,SUP039,True,2022-07-19
PROD00117,DigiWorld Accessories Product 117,Electronics,Accessories,DigiWorld,333.3,563.2,69.0,4.56,364,18,SUP011,True,2022-01-14
PROD00118,TechCorp Audio Product 118,Electronics,Audio,TechCorp,275.95,404.5,46.6,29.46,599,75,SUP048,False,2020-02-14
PROD00119,GardenPro Furniture Product 119,Home & Garden,Furniture,GardenPro,353.38,541.34,53.2,16.53,919,87,SUP019,True,2022-06-13
PROD00120,GardenPro Decor Product 120,Home & Garden,Decor,GardenPro,437.34,618.18,41.4,19.35,802,47,SUP014,True,2020-08-06
PROD00121,ModernHome Decor Product 121,Home & Garden,Decor,ModernHome,422.32,697.73,65.2,31.85,669,77,SUP002,True,2022-07-18
PROD00122,CozyLiving Furniture Product 122,Home & Garden,Furniture,CozyLiving,183.23,290.83,58.7,42.35,984,11,SUP005,True,2024-05-20
PROD00123,ModernHome Storage Product 123,Home & Garden,Storage,ModernHome,151.46,227.86,50.4,12.37,114,19,SUP024,True,2024-06-15
PROD00124,TechCorp Audio Product 124,Electronics,Audio,TechCorp,332.84,546.99,64.3,40.61,14,79,SUP010,True,2022-04-15
PROD00125,FashionPlus Sports Product 125,Clothing,Sports,FashionPlus,134.7,204.21,51.6,37.66,668,65,SUP027,True,2020-06-30
PROD00126,ComfortFit Kids Product 126,Clothing,Kids,ComfortFit,240.59,381.77,58.7,42.47,872,75,SUP041,True,2022-10-25
PROD00127,ElectroPro Mobile Product 127,Electronics,Mobile,ElectroPro,319.1,522.84,63.8,44.88,840,53,SUP041,True,2022-08-24
PROD00128,CozyLiving Garden Product 128,Home & Garden,Garden,CozyLiving,486.08,789.69,62.5,43.74,767,51,SUP032,True,2022-03-04
PROD00129,ModernHome Garden Product 129,Home & Garden,Garden,ModernHome,28.84,40.24,39.5,4.37,879,85,SUP029,True,2021-01-21
PROD00130,TechCorp Mobile Product 130,Electronics,Mobile,TechCorp,438.75,726.48,65.6,20.55,9,62,SUP031,True,2023-01-27
PROD00131,ModernHome Garden Product 131,Home & Garden,Garden,ModernHome,376.89,557.04,47.8,26.8,749,91,SUP004,True,2022-07-15
PROD00132,FashionPlus Men Product 132,Clothing,Men,FashionPlus,130.13,185.31,42.4,14.0,409,17,SUP011,True,2023-09-13
PROD00133,FashionPlus Women Product 133,Clothing,Women,FashionPlus,417.14,674.38,61.7,43.18,694,92,SUP035,True,2022-05-01
PROD00134,GardenPro Decor Product 134,Home & Garden,Decor,GardenPro,357.36,615.06,72.1,6.05,404,67,SUP032,True,2022-05-17
PROD00135,TechCorp Mobile Product 135,Electronics,Mobile,TechCorp,434.92,621.55,42.9,3.4,0,46,SUP001,True,2020-09-18
PROD00136,HomeEssentials Garden Product 136,Home & Garden,Garden,HomeEssentials,175.11,314.63,79.7,7.66,819,53,SUP032,True,2022-12-03
PROD00137,ComfortFit Women Product 137,Clothing,Women,ComfortFit,478.26,645.14,34.9,27.97,529,63,SUP024,False,2021-07-10
PROD00138,FashionPlus Women Product 138,Clothing,Women,FashionPlus,245.39,412.81,68.2,29.87,851,58,SUP010,True,2024-12-13
PROD00139,NaturalStyle Decor Product 139,Home & Garden,Decor,NaturalStyle,240.44,337.75,40.5,0.78,278,93,SUP009,True,2023-07-06
PROD00140,TrendyWear Accessories Product 140,Clothing,Accessories,TrendyWear,39.13,68.8,75.8,35.44,369,91,SUP050,True,2022-07-30
PROD00141,TechCorp Accessories Product 141,Electronics,Accessories,TechCorp,393.89,633.45,60.8,20.07,289,100,SUP032,True,2020-07-22
PROD00142,HomeEssentials Kitchen Product 142,Home & Garden,Kitchen,HomeEssentials,415.57,740.21,78.1,41.55,124,96,SUP029,True,2024-06-09
PROD00143,TechCorp Computers Product 143,Electronics,Computers,TechCorp,455.49,741.32,62.8,7.17,9,16,SUP006,True,2023-02-22
PROD00144,SmartTech Video Product 144,Electronics,Video,SmartTech,45.59,76.54,67.9,34.08,548,38,SUP025,False,2022-12-28
PROD00145,CozyLiving Garden Product 145,Home & Garden,Garden,CozyLiving,384.29,593.24,54.4,12.95,141,27,SUP010,True,2021-05-03
PROD00146,TechCorp Video Product 146,Electronics,Video,TechCorp,44.04,59.1,34.2,1.33,511,52,SUP004,False,2020-12-11
PROD00147,SmartTech Video Product 147,Electronics,Video,SmartTech,57.28,81.75,42.7,26.75,136,93,SUP015,True,2022-08-29
PROD00148,ElectroPro Mobile Product 148,Electronics,Mobile,ElectroPro,97.05,132.31,36.3,27.35,314,80,SUP043,False,2020-08-08
PROD00149,UrbanStyle Men Product 149,Clothing,Men,UrbanStyle,415.11,663.53,59.8,47.44,978,31,SUP002,True,2023-06-11
PROD00150,ComfortFit Kids Product 150,Clothing,Kids,ComfortFit,239.29,343.55,43.6,2.64,997,75,SUP046,True,2022-06-29
PROD00151,SmartTech Computers Product 151,Electronics,Computers,SmartTech,297.73,409.7,37.6,25.96,166,41,SUP043,False,2023-02-08
PROD00152,TechCorp Mobile Product 152,Electronics,Mobile,TechCorp,187.84,278.95,48.5,20.55,717,98,SUP043,False,2024-08-23
PROD00153,GadgetMax Video Product 153,Electronics,Video,GadgetMax,363.21,534.12,47.1,1.77,26,27,SUP039,True,2022-03-12
PROD00154,UrbanStyle Accessories Product 154,Clothing,Accessories,UrbanStyle,88.18,118.11,33.9,0.16,342,17,SUP004,True,2024-12-27
PROD00155,HomeEssentials Furniture Product 155,Home & Garden,Furniture,HomeEssentials,86.74,127.13,46.6,26.66,998,36,SUP010,True,2020-11-24
PROD00156,StyleHub Sports Product 156,Clothing,Sports,StyleHub,171.29,267.7,56.3,19.49,762,63,SUP045,False,2021-10-23
PROD00157,TechCorp Accessories Product 157,Electronics,Accessories,TechCorp,25.21,38.0,50.8,8.36,75,52,SUP014,False,2023-05-09
PROD00158,SmartTech Audio Product 158,Electronics,Audio,SmartTech,389.36,542.32,39.3,17.1,347,79,SUP022,True,2023-02-03
PROD00159,FashionPlus Accessories Product 159,Clothing,Accessories,FashionPlus,260.01,339.2,30.5,4.24,727,60,SUP007,False,2024-10-01
PROD00160,GadgetMax Audio Product 160,Electronics,Audio,GadgetMax,19.78,29.39,48.5,16.7,840,56,SUP006,True,2020-04-02
PROD00161,TrendyWear Men Product 161,Clothing,Men,TrendyWear,269.97,388.42,43.9,18.14,459,44,SUP046,True,2024-08-24
PROD00162,CozyLiving Storage Product 162,Home & Garden,Storage,CozyLiving,450.35,672.28,49.3,10.15,974,14,SUP022,True,2023-02-08
PROD00163,ModernHome Decor Product 163,Home & Garden,Decor,ModernHome,352.07,540.42,53.5,23.4,378,52,SUP041,True,2024-02-14
PROD00164,UrbanStyle Men Product 164,Clothing,Men,UrbanStyle,86.83,148.82,71.4,34.11,885,47,SUP008,True,2020-03-08
PROD00165,UrbanStyle Men Product 165,Clothing,Men,UrbanStyle,59.0,92.9,57.5,19.2,313,42,SUP049,True,2022-07-28
PROD00166,DigiWorld Audio Product 166,Electronics,Audio,DigiWorld,60.15,79.07,31.4,35.09,665,46,SUP028,False,2024-11-17
