product_id,product_name,category_id,supplier_id,unit_price,units_in_stock,units_on_order,reorder_level,discontinued,created_date,last_modified,weight,dimensions
1,iPhone 15 Pro,1,1,999.99,50,20,10,0,2023-01-01 00:00:00,2024-01-15 12:30:00,0.240,6.1x3.0x0.3 inches
2,Samsung Galaxy S24,1,1,899.99,75,30,15,0,2023-01-15 00:00:00,2024-01-20 14:15:00,0.232,6.2x2.9x0.31 inches
3,MacBook Pro 16-inch,1,1,2499.99,25,10,5,0,2023-02-01 00:00:00,2024-02-01 09:45:00,2.140,14.0x9.8x0.66 inches
4,Nike Air Max 270,2,5,129.99,100,50,25,0,2023-01-10 00:00:00,2024-01-25 11:20:00,0.650,12x8x5 inches
5,Adidas Ultraboost 22,2,5,179.99,80,40,20,0,2023-01-20 00:00:00,2024-01-30 15:45:00,0.680,13x9x6 inches
6,Levi's 501 Jeans,2,2,79.99,150,75,30,0,2023-01-05 00:00:00,2024-01-10 08:30:00,0.800,Various sizes
7,Coffee Machine Deluxe,3,3,199.99,45,20,10,0,2023-02-10 00:00:00,2024-02-15 13:20:00,5.200,12x8x14 inches
8,Dining Table Set,3,3,599.99,15,5,3,0,2023-02-20 00:00:00,2024-02-25 16:40:00,45.500,60x36x30 inches
9,Harry Potter Collection,4,4,49.99,200,100,50,0,2023-01-01 00:00:00,2024-01-05 10:15:00,2.100,8x5x2 inches
10,Programming with Python,4,4,39.99,120,60,25,0,2023-01-12 00:00:00,2024-01-18 14:30:00,1.200,9x7x1 inches
11,Yoga Mat Premium,5,5,29.99,200,100,40,0,2023-01-08 00:00:00,2024-01-12 09:20:00,1.800,72x24x0.25 inches
12,Tennis Racket Pro,5,5,149.99,60,30,15,0,2023-02-05 00:00:00,2024-02-08 11:50:00,0.310,27x11x1 inches
13,Vitamin D3 Supplements,6,6,19.99,300,150,75,0,2023-01-15 00:00:00,2024-01-20 07:45:00,0.150,4x2x2 inches
14,Face Moisturizer,6,6,34.99,180,90,45,0,2023-01-25 00:00:00,2024-01-28 12:10:00,0.200,3x3x6 inches
15,LEGO Creator Set,7,7,89.99,80,40,20,0,2023-02-01 00:00:00,2024-02-05 15:30:00,1.500,15x10x3 inches
16,PlayStation 5,7,7,499.99,30,15,8,0,2023-02-15 00:00:00,2024-02-18 17:20:00,4.500,15.4x4.1x10.2 inches
17,Organic Coffee Beans,8,8,24.99,250,125,60,0,2023-01-03 00:00:00,2024-01-08 06:30:00,1.000,12x8x4 inches
18,Green Tea Premium,8,8,16.99,180,90,40,0,2023-01-18 00:00:00,2024-01-22 13:45:00,0.500,8x6x3 inches
19,Car Battery Premium,9,9,129.99,40,20,10,0,2023-02-12 00:00:00,2024-02-16 10:25:00,18.200,10x7x8 inches
20,Motor Oil Synthetic,9,9,39.99,100,50,25,0,2023-02-08 00:00:00,2024-02-12 14:15:00,5.000,12x8x10 inches
21,Bluetooth Headphones,10,10,79.99,120,60,30,0,2023-01-28 00:00:00,2024-02-02 16:50:00,0.250,8x7x3 inches
22,Vinyl Record Player,10,10,249.99,25,10,5,0,2023-02-18 00:00:00,2024-02-22 11:35:00,8.500,17x14x6 inches
23,Wireless Mouse,1,1,49.99,200,100,50,0,2023-01-06 00:00:00,2024-01-11 09:40:00,0.095,4x2x1 inches
24,Mechanical Keyboard,1,1,129.99,80,40,20,0,2023-01-14 00:00:00,2024-01-19 15:25:00,1.200,17x5x1.5 inches
25,Winter Jacket,2,2,199.99,60,30,15,0,2023-01-30 00:00:00,2024-02-04 12:55:00,1.400,Various sizes